place_id,name,keyword,estimated_transport_carbon_kg,activity_carbon_score,visitor_carbon_factor,carbon_impact_score,has_carbon_offset_potential,carbon_category_encoded,distance_from_center_km,nearby_places_count,user_ratings_total,popularity_score,keyword_encoded,num_types,is_food,is_lodging,is_tourist_attraction,tourism_score,popularity_score,rating_filled,has_rating,has_reviews
ChIJM9RHk8Wp1zARhsIsGNk4akY,PK.FARM Wiang Chi,ฟาร์ม,1.15343892296101,3,0.06931471805599453,1.5668260923051014,0,1,9.611991024675083,35,1,2.4158883083359672,6,2,0,0,0,0.5386935021544965,2.4158883083359672,5.0,1,1
ChIJ7wNcGwCr1zARRvh7rngVMSQ,SarisaFarmChiangrai,ฟาร์ม,1.8783656767635497,3,0.06931471805599453,1.7843041184458635,0,1,15.653047306362915,11,1,2.4158883083359672,6,2,0,0,0,0.5386935021544965,2.4158883083359672,5.0,1,1
ChIJMcVZRVOp1zAR4IgpfEu76aI,JC ORGANIC FARM,ฟาร์ม,1.4903413610994922,3,0.06931471805599453,1.667896823746646,0,1,12.419511342495769,14,1,2.4158883083359672,6,2,0,0,0,0.5386935021544965,2.4158883083359672,5.0,1,1
ChIJKRoWWfqv1zARvT-ISudLjq4,คุณหนึ่งฟาร์ม,ฟาร์ม,2.781875860376143,3,0.10986122886681096,2.067521126772886,0,1,23.18229883646786,15,2,2.4591673732008656,6,2,0,0,0,0.5411781058737051,2.4591673732008656,4.5,1,1
ChIJ7yRuFNan1zARh7VSdFka2pA,ศรีมณเฑียรฟาร์ม,ฟาร์ม,1.4835078876387873,3,0.2833213344056216,1.7300487666133229,0,1,12.362565730323228,29,16,3.1474918439852817,6,3,1,0,0,0.5806940599607908,3.1474918439852817,4.4,1,1
ChIJ4xd8wNGn1zARMEFdRJXTSwE,หนองหลวงฟาร์มปลา,ฟาร์ม,1.534564962108056,3,0.41431347263915325,1.784663530424163,0,1,12.788041350900466,28,62,3.4604682586858764,6,3,0,0,0,0.5986616931898627,3.4604682586858764,4.2,1,1
ChIJ2TwH3B2v1zARHd12qel5FBk,BB Farm Orange Farm,ฟาร์ม,2.9587291740896844,3,0.21972245773362195,2.153535489546992,0,1,24.65607645074737,14,8,3.1966952139692824,6,3,1,0,0,0.5835187715492105,3.1966952139692824,5.0,1,1
ChIJwSEQkump1zARblijyJ5nH28,อนันตะฟาร์ม ณ เจียงฮาย,ฟาร์ม,1.5831567175529226,3,0.31780538303479455,1.7702886301763154,0,1,13.192972646274356,13,23,3.3309439898728,6,4,1,0,0,0.5912258467586757,3.3309439898728,4.6,1,1
ChIJRzWAt9Sn1zARG3a4fp14bCc,ไร่สิริวัตร,ฟาร์ม,1.5733999202016138,3,0.20794415416798356,1.7344032223108794,0,1,13.111666001680115,27,7,3.0013603032723672,6,2,0,0,0,0.5723048082363738,3.0013603032723672,4.6,1,1
ChIJb3oYUfSl1zARfHuJ_k1dWMI,สวนเห็ดห้าบ้านสันเจริญ,ฟาร์ม,2.7857399372280103,3,0.10986122886681096,2.0686803498284463,0,1,23.214499476900087,9,2,2.659167373200866,6,2,0,0,0,0.5526598868547163,2.659167373200866,5.0,1,1
ChIJ85NiONcH1zARve3WRS5sSvM,ไร่ ปริณดา,ฟาร์ม,0.6361899130909854,3,0.10986122886681096,1.423815342587339,0,1,5.301582609091545,47,2,2.659167373200866,6,2,0,0,0,0.5526598868547163,2.659167373200866,5.0,1,1
ChIJcxxIROip1zARZlmkOlIAOZk,BB farm,ฟาร์ม,1.341245945124817,3,0.06931471805599453,1.6231681989542435,0,1,11.17704954270681,18,1,2.4158883083359672,6,2,0,0,0,0.5386935021544965,2.4158883083359672,5.0,1,1
ChIJcd0Bm7Op1zARxoImAK96aDQ,ไร่คุณเกื้อ Melon Farm Chiang rai,ฟาร์ม,1.199229668996471,3,0.10986122886681096,1.5927272693589847,0,1,9.993580574970592,29,2,2.4591673732008656,6,2,0,0,0,0.5411781058737051,2.4591673732008656,4.5,1,1
ChIJZyYiJxql1zARHFChNhCsTzQ,WBG FARM,ฟาร์ม,2.651879400620341,3,0.06931471805599453,2.0163582356029006,0,1,22.09899500516951,10,1,2.4158883083359672,6,3,0,0,0,0.5386935021544965,2.4158883083359672,5.0,1,1
ChIJTSROFRKn1zARMimS5t6oWtQ,สร้างสุข,ฟาร์ม,1.9839921464036634,3,0.21972245773362195,1.8611143812411857,0,1,16.533267886697196,22,8,3.1966952139692824,6,2,0,0,0,0.5835187715492105,3.1966952139692824,5.0,1,1
ChIJo3lqrXz51jAR3pCMu2GMIr8,โอโซนฟาร์ม Ozone Farm,ฟาร์ม,4.1600368232065446,3,0.3295836866004329,2.5468861529420934,0,1,34.66697352672121,29,26,3.2062789005697154,6,4,1,0,0,0.5840689605018947,3.2062789005697154,4.2,1,1
ChIJ5dLpqhqo1zARBWn1tjw_NPw,ฟาร์มสุนัขเอมมี่โกลด์ Emmy Gold Farm (ฟาร์มปอมเมอเรเนี่ยนแท้เชียงราย),ฟาร์ม,0.6447459899335913,3,0.2833213344056216,1.478420197301764,0,1,5.372883249446595,46,16,2.9474918439852815,6,4,0,0,0,0.5692122789797796,2.9474918439852815,3.9,1,1
ChIJx3EtKLCl1zAR_T0hOftL7VY,Pha Muen,ฟาร์ม,2.78263536183692,3,0.1791759469228055,2.0885433926279178,0,1,23.188628015307668,11,5,3.075055681536833,6,2,0,0,0,0.5765355791991007,3.075055681536833,5.0,1,1
